NAME DES BEGÜNSTIGTEN,BEZEICHNUNG DES VORHABENS,Jahr der Bewilligung,Jahr der abschließenden Restzahlung,Gewährte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
Stadt Walsrode,Alten- und behindertengerechter Ausbau öffentlicher Bereiche,2013,,"91817,37",
Stadt Walsrode,"Erschließung Gewerbegebiet ""Große Schneede""",2014,,10364888,
Stadt Walsrode,Gestaltung des Bahnhofsumfeldes,2012,,"732928,96",
Stadt Walsrode,"Umnutzung des Jugendzentrums zum generationsübergreifenden
Zentrum für Jugend und Kultur",2012,,662570,
Stadt Winsen,"Gewerbegebiet Luhdorf, Erschließung 2. Bauabschnitt",2014,,6026324,
Stadthalle Verden GmbH,"Beratung zur Erstellung einer Internetpräsentation in Kombination mit
Onlinemarketing-Maßnahmen",,2013,,"2898,45"
Stahl- und Maschinenbau Lühmann GmbH & Co. KG,Erstellung eines Web-Marketing-Konzeptes,,2014,,4000
Stall Schlieckau Frau Susann Babett Bescht,Errichtung eines Zucht- und Ausbildungsbetriebes für Pferde,,2013,,360000
Standby GmbH,"Entwicklung eines qualitativen, zukunftssichernden
Personalentwicklungskonzeptes",,2012,,1400
Steakhouse Apache Inh. Yazgan Meyase,Erstellung eines Web-Marketingplanes,,2012,,6000
Stedorfer Deichverband,"Hochwasserschutz innerhalb des Stedorfer Deichverbandes, Pla-
nungsabschnitt II, Deichverstärkung von Station 3+900 bis 4+400",,2008,,"249994,26"
Stefan Conath Immobilienbewertung,Erstellung eines Web-Marketing-Konzeptes,,2011,,4000
Stefan Reinsch,Landschaftspflegehof Arche Höhbeck Kauf und Sanierung,2013,,315000,
Stefan von Bargen,"Beratung und Konzeption zur Erstellung einer professionellen
Internetpräsenz",,2011,,4400
Steffens GmbH,Konzeptionelle Beratung zur Erstellung einer Internetpräsenz,,2012,,4400
Steinau,"Ausbau einer breitbandigen elektr. Kommunikation im Bereich der
Gewerbe-, Misch- und Wohngebiete der Gemeinde Steinau",2013,,"47913,57",
Stelljes Team Heizungs- & Sanitärinstallations GmbH,"Erarbeitung und Umsetzung eines umfassenden Marketingkonzeptes
zur Umsatzausweitung und Gewinnung von Neukunden",,2008,,4000
Stiftung Freilichtmuseum am Kiekeberg,"Agrarium, Erlebniswelt Landwirtschaft, 2. Bauabschnitt",,2013,,"1108061,49"
Stiftung Natureum Niederelbe b.R.,Orni-Vision im Natureum,2014,,"18261,02",
Stiftung Naturschutzpark Lüneburger Heide,Barrierefreier Rundwanderweg in der Hügelgräberheide Behringen,2014,,"27469,57",
Stiftung Naturschutzpark Lüneburger Heide,"Bau einer Beobachtungs-Aussichtsplattform im Naturschutzgebiet
Lüneburger Heide",,2009,,"30854,56"
Stiftung Naturschutzpark Lüneburger Heide,"Bienenwelten - Eine Ausstellung für die Natur-InformationsHäuser
Ober- und Niederhaverbeck",,2014,,"78196,78"
Stiftung Naturschutzpark Lüneburger Heide,Großviehbeweidung erlebbar machen!,,2011,,7918
Stiftung Naturschutzpark Lüneburger Heide,Heidebauernwirtschaft erleben in Wilsede,,2009,,"48442,62"
Stiftung Naturschutzpark Lüneburger Heide,"Ökologische Bewirtschaftung der Kulturlandschaft auf dem Tütsberg
erleben",,2011,,"32058,24"
Stiftung Naturschutzpark Lüneburger Heide,"Schaffung neuer Angebote im Außenbereich des Naturinformations
hauses Undeloh",,2010,,"23935,02"
Stiftung Naturschutzpark Lüneburger Heide,"Schutzgebiets - Informationssystem im Naturschutzgebiet Lüneburger
Heide",2014,,"45659,4",
Stiftung Naturschutzpark Lüneburger Heide,"Vernetzung der Informationseinrichtungen des Vereins
Naturschutzpark",,2010,,9500
Stiftung Spiel: Historisches Spiel- zeug - Innovative Spielräume,Filzwelt Soltau,2013,,"4666580,44",
Stiftung Spiel: Historisches Spiel- zeug - Innovative Spielräume,Spielmuseum -Filzwelt (Machbarkeitsstudie),,2009,,23000
Strandhotel Duhnen Aparthotel Kamp Kristian Kamp e.K.,"Umbau/ Hotelbadabteilung, Errichtung Wellness-Bereich",,2011,,255700
Stromradhaus GmbH,"Beratung zur Entwicklung eines Online-Marketing-Konzeptes zur
Kundengewinnung",,2015,,5000
Studio Lichtblick,Beratung zur Optimierung der Internetseite,,2013,,4000
Stuhlmacher Solartechnik GmbH,Anpassung von Kompetenzen der Beschäftigten,,2012,,10000
STUMM Kommunikation Betriebs GmbH & Co. KG,Erweiterung einer Betriebsstätte,,2013,,321000
Sudau's Olive,Beratung zur Erstellung eines Webauftrittes,,2012,,4800
SugarShape UG,Gründung und Aufbau des Unternehmens SugarShape,,2012,,18000
Susanne Löhn Malermeisterin,Erstellung eines Web-Marketingkonzeptes,,2011,,4800
Susanne Ruff Begleitende Kinesiologin,"Beratung zur Positionierung im Internet und zur Klientengewinnung
durch Web-Marketing",,2014,,1800
Susanne Thölke Heilpraktikerin für Psychotherapie,"Beratung und Erarbeitung eines Konzeptes für Onlinemedien und
Suchmaschinen",,2014,,2000
T & T Markt GmbH,"Bestandsaufnahme und Analyse der Werbemaßnahmen, Steigerung
der Wettbewerbsfähigkeit und Beratung im Bereich Kundenbindung",,2010,,2000
Take-your-car GmbH,Erstellung des Maßnahmeplanes,,2012,,6000
Tamke Verkaufsfahrzeuge GmbH,Erstellung eines Kommunikationskonzeptes für die Online-Präsenz,,2012,,6000
Tanzschule & Dance GmbH,Erhöhung des Marktanteils und Preispolitik,,2009,,2800
TAU Gesellschaft für ökologische Systeme GmbH,Erstellung des Produktdesigns,,2012,,4548
TAX Prüfstelle und KFZ-Sachverständigen- büro,"Beratung zur Neukundengewinnung und Kundenbindung durch
gezieltes Web-Marketing",,2013,,10000
"TDS invents Fahrzeugtechnik e.K. Industriegebiet Volkstorf Süd-
West",Erweiterung einer Betriebsstätte,,2011,,247500
"TDS invents Fahrzeugtechnik e.K. Industriegebiet Volkstorf Süd-
West","Neuentwicklung eines Systemdachs für einen Einsatzleitwagen der
Feuerwehr",2009,,68300,
Technische Universität Clausthal,FZC Drilling Simulator,2012,,6691365,
Teichert Systemtechnik GmbH,"Gründung und Aufbau des Unternehmens Teichert Systemtechnik
GmbH",,2013,,18000
Teichert Systemtechnik GmbH,Modularer Formsensor für sehr lange Objekte,2013,,90000,
TET Hygiene Vertrieb GmbH & Co. KG,Erstellung eines Marketingkonzeptes,,2011,,4000
TET Hygiene Vertrieb GmbH & Co. KG,"Erweiterung einer Betriebsstätte in 29439 Lüchow, Rue de Ceret 2",2014,,79500,
The Stork Foundation,Beobachtungsstände in den Sudewiesen,,2010,,"45198,79"
Theater Lüneburg GmbH,"Ausbau/Erweiterung des Theaters Lüneburg um ein Kinder- und
Jugendtheater",,2011,,1395750
Theater Lüneburg GmbH,"Energetische Modernisierung der technischen Gebäudeausrüstung,
Modernisierung von Raumaussattungen und technischen Anlagen",2015,,"975008,61",
Theater Lüneburg GmbH,Modernisierung der Dächer und Fassaden des Theaters,2014,,1079330,
Theater Lüneburg GmbH,"Modernisierung der technischen Anlagen und Raumausstattungen
des Theaters",2014,,"453815,95",
Theater Metronom,Umbaumaßnahme Theater Metronom,,2009,,212500
Thiele Metalltechnik GmbH,HYGI-TEC - Gefrier- und Auftauverfahren,2014,,97100,
Thom Metall- und Maschinenbau GmbH,Einstellung eines Innovationsassistenten,,2010,,"7465,48"
Thomas GmbH & Co. Technik + Innovation KG,"Entwicklung von Verfahren und Anlage zur kontinuierlichen Her-
stellung von 2- und 3-dimensional gekrümmten faserv. Profilen",,2012,,"195269,78"
Thomas Treude GmbH,Grundstückskauf sowie Errichtung einer Lagerfläche,,2010,,"25822,25"
Thorben Flach,"Aufbau des Unternehmens ""TAP - Solutions GbR""",,2010,,18000
Tiedeke Büroservice GmbH Herrn Jan Fuchs,"Erarbeitung von Marketingmassnahmen zur Verbesserung der
Ergebni sse",,2010,,10000
"tirmondo GmbH, Bad Fallingbostel","HigH! - Holistisches internetunterstütztes gasbasiertes
Hybrideinspritzsystem",,2013,,100000
"tirmondo GmbH, Bad Fallingbostel","PreMiuM-Predictive Truck Markets: indicatorbased, universal
eMarketplace",2013,,100000,
Tischlerei Ernst-Otto Brammer,"Erarbeitung von Marketingmaßnahmen, Aufbau eines Marketing-
Controllings, Unterstützung bei der Umsetzung",,2009,,10000
Tischlerei Oberdick,"Beratung zur Neukundengewinnung und Kundenbindung durch
gezieltes Web-Marketing",,2014,,2200
Tischlerei René Marquard,Erarbeitung eines Web-Marketingkonzeptes,,2011,,2500
Tischlerei Schmorl,Beratung zur Erstellung einer professionellen Internetpräsenz,,2011,,2000
Tischlerei Stolte GmbH,Maschinen und Anlagen,,2010,,192500
Tischlerei Voss GmbH & Co. KG,"Beratung zum Aufbau eines systematischen
Personalentwicklungskonzeptes",,2014,,8400
Tischlerei W. Fiß e.K Arne Lütjens,"Beratung zur Sicherung und Anpassung von Kompetenzen der
Beschäftigten auf die aktuellen und zukünftigen Anforderungen",,2014,,6000
Tischlerei Winkler GmbH,"Entwicklung modular einsetzbarer Sicherheitselemente aus Holz
(Türen und Fenster) für den Innen- und Außenbereich",,2013,,"17116,14"
Tischlerei Winkler GmbH,Konzeption eines eigenen Internetauftrittes,,2009,,10000
Tischlerei/Drechslerei Simonsen,Anschaffung von Maschinen,,2013,,"15166,24"
TME Die Dachdeckermeister GmbH,Erarbeitung eines Corporate Design,,2011,,3500
Tobias Kopp - Schornsteinfeger,Erarbeitung eines professionellen Internetauftrittes,,2013,,4400
TofuTown Lüneburger Heide GmbH,"Kauf von Grundstücken, Maschinen/Anlagen, Gebäude",,2011,,1597100
Torsten Suderburg,Neubau eines Bürogebäudes und Anschaffung von Maschien,,2011,,"42192,94"
Torsten Winkler,Entwicklung von einem Marketing- und Vertriebskonzept,,2009,,"5989,25"
tourenmaterial.de,Optimierung des öffentlichen Auftritts,,2010,,5000
Tripmacker-Fahje Die kreativen Landschaftsgärtner,Beratung zur Erstellung einer Internetpräsenz,,2013,,2800
Trispel GmbH,Beratung zur Planung und Durchführung der Anteilsübertragung,2013,,"2849,72",
TTT The Team Composite AG,Einstellung eines Innovationsassistenten,,2010,,"8357,4"
Uhlenhoff-Ideen,"Gründung und Ausbau des Unternehmens Uhlenhoff-Ideen GmbH
i.G.",,2012,,18000
Umformtechnik Stade GmbH,Aufbau eines Qualitätsmanagementsystems,,2009,,9800
Umformtechnik Stade GmbH,"Entwicklung eines Tiefziehverfahrens für Sicken mit unterschiedlichen
Randabständen in Stahlblechen aus Corten ""B""",,2014,,19656
Urologische Gemeinschaftspraxis Buxtehude - Neu Wulmsdorf,"Grafisches Überdenken der Gesamtgestaltungslinie in allen
relevanten Medien",,2012,,4000
USP Umweltservice GmbH,Entwicklung eines ganzheitlichen Web-Marketing-Konzeptes,,2013,,5200
Uta Schlobohm-Sabin Körpertherapeutin,Erstellung eines Marketingkonzeptes,,2011,,3350
Ute Fischer Vermietung und Verwaltung,"Beratung zur Steigerung der Vermarktung von Luxus-
Ferienwohnungen in Cuxhaven über gezieltes Internet-Marketing",,2013,,3000
Uwe Behrens Immobilien,"Beratung zur Neukundengewinnung und Kundenbindung durch
gezieltes Web-Marketing",,2014,,4600
Uwe Nehls,Erarbeitung einer professionellen Internetpräsenz,,2014,,4400
vabene Damenschuhe,Erstellung eines Web-Marketing-Konzeptes,,2012,,2000
Vastorf,"Bau eines Industriegleises sowie einer Ladestraße einschließlich
einer Anbindung an die vorhandene nördliche Gewerbestraße",,2014,,"930914,62"
Venus-Moden Annette Redder e.K.,"Konzeptionelle Beratung für die Marketingaktivitäten des Unter-
nehmens über das Internet",,2013,,2500
Verein für Sozialmedizin e.V.,Erarbeitung eines Online-Marketing-Konzeptes,,2012,,4000
"Verein Landwirtschaftsmuseum Lüneburger Heide am
Landtagsplatz zu Hösseringen",Ausbau des Museumsdorfes Hösseringen,,2011,,840000
Verein Naturschutzpark e.V.,Naturspeicher Wilsede,,2008,,13574
Verein Naturschutzpark e.V.,Umbau und Erweiterung des Naturinformationszentrums Undeloh,,2011,,"741701,26"
Verein zur Förderung von Naturerlebnissen e. V.,"a.Moore.mio - Die Liebe zum Moor entdecken / Erstellung eines
Flyers",,2009,,"5653,4"
Verein zur Förderung von Naturerlebnissen e. V.,Natur und Technik an der Oste,,2012,,55251
Verein zur Förderung von Naturerlebnissen e. V.,Vogelkieker II - Nachrüstung Belüftungsanlage,,2013,,"13760,69"
Verein zur Förderung von Naturerlebnissen e. V.,Vogelkieker-Ersatzbeschaffungen,,2010,,"289477,75"
Vereinigte Saatzuchten Ebstorf-Rosche eG,Hallenbau für Aufbereitung von Saatgut,,2010,,145000
"Verkehrsverein Hitzacker, Göhrde, Elbufer e.V.","Erstellung von Naturerleben-Strecken verbunden mit Nordic- Walking
und Wanderpfaden",,2011,,39000
Vermessungsbüro Ehrhorn,Erarbeitung eines betrieblichen Weiterbildungskonzeptes,,2012,,6800
Viebrocks Gasthaus,"Repositionierung und Anpassung des Webauftrittes an den Markt und
die Zielgruppenbedürfnisse",,2014,,10000
ViSiTec Video-Sicherheit-Technik GmbH,Optimierung des Online-Marketings und des Marketing- Controllings,,2008,,2800
Visseler Pflegedienst Inh. Heike Rathmann,"Aufbau eines Marketings für den Pflegedienst; Bekanntmachung des
Pflegedienstes als lokale Marke",,2009,,4800
Vital Apotheke am Neumarkt Klaus-Peter Körber,Entwicklung einer Marketingstrategie für die Vital Apotheke,,2009,,6400
Vital-Zentrum-Verden Jürgen Schulz-Karstens,Neugestaltung des Internetauftrittes,,2013,,4570
Volkshochschule Heidekreis gGmbH,Koordinierungsstelle Frau & Wirtschaft Heidekreis,,2011,,"184870,58"
Volkshochschule Heidekreis gGmbH,Koordinierungsstelle Frau und Wirtschaft Heidekreis,,2010,,"150457,43"
Volkshochschule Heidekreis gGmbH,"Koordinierungsstelle und KoordinierungsstellePlus Frau und Beruf
Heidekreis",,2009,,"124467,38"
Voss & Voss Autohaus Nord Niedersachsen GmbH & Co. KG,Optimale Ausrichtung des Personals,,2013,,9125
vTHINK GbR,Analyse des bisherigen Online-Marketings,,2013,,6468
W. Marwitz Textilpflege GmbH,"Begleitende und konzeptionelle Beratung zur Erstellung und
Umsetzung eines Marketingkonzeptes",,2008,,10000
W. Rübke GmbH & Co. Bauunternehmen,Neupositionierung am Markt,,2010,,"1162,5"
W. von der Heyde GmbH,"Entwicklung und Herstellung einer neuen Maschine für die industrielle
Dichtheitsprüfung",,2014,,100000
W. von der Heyde GmbH,Erstellung eines professionellen Web-Marketing-Konzeptes,,2011,,10000
Wachstumsinitiative Süderelbe AG,Clustermanagement Ernährungswirtschaft,,2014,,"1114847,61"
Wachstumsinitiative Süderelbe AG,"Projektmanagement zur Entwicklung eines Hafen- und Logistik-
verbunds Elbe-Seitenkanal (ESK)",2013,,138153,
Wachstumsinitiative Süderelbe AG,"Projektskizze zur zielgerichteten Entwicklung des Industrie-
standortes Stade, stade-project 2021",,2010,,"139435,08"
Wachstumsinitiative Süderelbe AG,"Smart Region: Strategie, Handlungskonzept und Businessplan-
Entwicklung für Nordostniedersachsen und die Süderelbe-Region",2014,,505000,
Wachstumsinitiative Süderelbe AG,"stade-project 2021: Standortmanagement zur zielgerichteten und
wachstumsorientierten Entwicklung des Industriestandortes Stade",2010,,1381555,
Wachstumsinitiative Süderelbe AG,Wirtschaftsdelta 2015,2011,,809500,
Waldbüro Böhmsholz Herr Veikko Villwock,Gründung und Aufbau des Unternehmens Waldbüro Böhmsholz,,2011,,18000
Wärme aus Biokraft Probst,Beratung zum Logodesign und Corporate Design,,2012,,2000
Warnkes Holzmanufaktur GmbH & Co. KG,Aufbau von Marketing- und Vertriebsstrategien für Online-Verkauf,,2011,,1820
Wassenaar living home GmbH,"Entwicklung eines marktfähigen Markenzeichens mit entsprechend
effizienter Kommunikationsstrategie",,2008,,6000
Wasser & Behrens GmbH,"Ausbau eines vorhandenen Marketingkonzeptes als Basis für die
Wachstumsphase der Firma",,2009,,10000
Wasser & Behrens GmbH,Erstellung & Umsetzung eines komplexen Marketingkonzeptes,,2008,,6800
Wasser- u. Abwasserverband Wesermünde-Nord,Bau einer Schmutzwasserkanalisation in Hymendorf,,2012,,1219750
Wasser- und Abwasserverband Osterholz,Ertüchtigung der Kläranlage Grasberg,,2014,,"239273,72"
Wasser- und Bodenverband Biederden- Bollen-Uphusen,"Herstellung des Deichverteidigungsweges im Bereich der Kläranlage
Achim",,2009,,"156907,51"
Wasser- und Bodenverband Grauwall-Gebiet,Neubau des Spitzenschöpfwerkes Misselwarden,,2009,,"773540,23"
Wasserverband Höhbeck,Erweiterung der Kläranlage Gartow,,2014,,"210473,11"
Wasser-Verband-Wendland,Leistungssteigerung der Belebungsbecken,,2012,,1016000
WBG-Projektentwicklung GmbH & Co. KG,Erarbeitung eines professionellen Internetauftrittes,,2013,,10000
web-netz GmbH,Neuentwicklung einer Affiliate Management Software,2014,,50200,
Wehdeler Gewürzmühle GmbH,Verlagerung und Erwerb einer stillgelegten Betriebsstätte in Schiffdorf,,2009,,"20611,4"
Weinfass Wabnitz,Erstellung eines Web-Marketing-Konzeptes,,2014,,2200
Weinkost Bistro-Kontor GbR,Beratung zur Optimierung der bestehenden Internetpräsenz,,2013,,2400
WELDTEC GmbH,"Verlagerung einer Betriebsstätte mit Erweiterung Bau einer
Halle,Verbesserung der Auftragsbearbeitung",2009,,437130,
Wellness-Schlösschen Bötzelberg,"Konzeptentwicklung der Website und Beratung zum Corporate
Design",,2009,,3000
"Werner Hacke; Landw.Lohnunternehmen Inh. Hans-Heinrich
Hacke","Beratung zur Stärkung der Eingenkapitalbasis für ein langfristiges
Unternehmenswachstum",2013,,8000,
Werner OHG,Neuausrichtung des Corporate Design,,2012,,10000
Werum Software & Systems AG,"Entwicklung eines Standardsoftwarepakets
""Produktionsmanagement"" für die Biotech- und Pharma-Industrie",,2010,,1406000
Westener Deichverband,"Verbesserung der Deichsicherheit zwischen Westen und Barnstedt
Station 5+460 bis 8+300, Planungskosten 2007",,2008,,28000
Westphal Präzisionstechnik GmbH & Co. KG,Anbau und Umbau der Montagehalle,,2010,,"48307,56"
WeSustain GmbH,Einstellung einer Innovationsassistentin,,2011,,9000
Wiebke Sohnemann,Beratung zur Erstellung eines Webmarketing-Konzeptes,,2014,,8400
Wildnissport GmbH,Versandhandel,,2013,,"229431,66"
Wilfried Müller KG,Bau von Hallen und Anschaffung von Maschinen und Anlagen,,2013,,"246265,43"
Wilhelm H. & Martina Matthies KG,Erstellung einer professionellen Internetpräsenz,,2013,,7600
Wilhelm Matthies,"Erstellung eines Nachfolgekonzeptes sowie Beratung zur
Kapitalbedarfsermittlung",,2012,,500
Wilhelm Wehrt e.K. Hotel Altes Land,"Konzeptionelle Beratung zur Suchmaschinen-Analyse, Auswertung
des möglichen Online Marktes",,2013,,10000
Winterhoff Edelstahl GmbH,Änderung des Produktionsablaufs,,2011,,"62424,8"
Wipak Walsode GmbH & Co. KG,"Entwicklung einer neuen Generation von mehrschichtigen
Kunststofffolien auf der Basis nachwachsender Rohstoffe",,2012,,"51814,29"
"Wirtschafts- und Strukturentwicklungs- gesellschaft Landkreis
Verden mbH",Gleisanschluss Industrie- und Gewerbegebiet Dörverden,2008,,"4559696,5",
Wirtschaftsförderungsgesellschaft im Landkreis Harburg mbH,"Arbeitsgemeinschaft Technologie- und Innovationsförderung Elbe-
Weser Region (ArTIE)",,2013,,309000
Wirtschaftsförderungsgesellschaft im Landkreis Harburg mbH,"Entwicklung des Gewerbegebietes ""Hauskoppel/Lübberstedter Str.""
der Gemeinde Egestorf",,2013,,"1520333,55"
Wirtschaftsförderungsgesellschaft im Landkreis Harburg mbH,"Entwicklung des Gewerbegebietes Oelstorf II der Gemeinde
Salzhausen",2014,,1101230,
Wirtschaftsförderungsgesellschaft im Landkreis Harburg mbH,Neubau eines Innovations- und Gründungszentrums,2012,,1880827,
"Wirtschaftsförderungsgesellschaft mbH für Stadt und Landkreis
Lüneburg",eHealth.Lüneburg,2013,,"242424,49",
"Wirtschaftsförderungsgesellschaft mbH für Stadt und Landkreis
Lüneburg","Entwicklungsprojekt ""Lüneburger Binnenhafen""",,2011,,119000
Wolfgang Krajewski GmbH & Co. KG,Erweiterung einer Betriebsstätte,,2009,,52582
Wolfgang Quast KG,Beratung zur Erstellung einer professionellen Internetpräsenz,,2011,,3200
WST-Werkzeugschärfdienst und -technik GmbH & Co.KG,Errichtung einer Betriebsstätte,,2011,,"205146,15"
Wurster Nordseeküste,"Aufbau einer breitbandigen elektr. Kommunikation i. Bereich d.
Gewerbe-, Misch- u. Wohngebiete d. Gemeinde Nordholz",2014,,311147,
Wurster Nordseeküste,"Aufbau einer breitbandigen elektronischen Kommunikation in der
Samtgemeinde Land Wursten, Gemeinde Wremen",2014,,35338,
Wurster Nordseeküste,"Neubau des Schwefelsole-Wellenfreibades in Dorum-Neufeld als
Kom bibad",,2015,,"8388886,01"
WZT-Wendland-Zerspanungs-Technik GmbH,Entwicklung/Konstruktion und Bau einer Iridium 315,,2012,,100000
XQ GmbH,Errichtung einer Modelabel-Betriebsstätte,2009,,"9122,71",
your backoffice GmbH,"Beratung zur Erhaltung und Sicherung des Unternehmens durch den
eigenen Internetauftritt",,2014,,4200
your backoffice GmbH,Erstellung eines Maßnahmeplanes zur Personalentwicklung,,2011,,4800
yourelement e.K. Inh. Florian Cohrs,Beratung zur Gestaltung einer Homepage,,2015,,10000
Zahnarztpraxis Dr. Gerhard Treuel,"Konzeptionelle Nachfolgeberatung im Hinblick auf alternative
Nachfolgeszenarien",,2014,,2000
Zahnarztpraxis Dr. Rainer Köpsell,"Eröffnung neuer Geschäftsfelder; Umsetzungspläne unter Einbe-
ziehung von Marketingmaßnahmen erarbeiten und begleiten",,2009,,1450
Zajons Logistik Entsorgungs- gesellschaft mbH,"CompoCycle - Einführung eines europaweiten Rücknahmesystems
für faserverbundene Kunststoffe (FVK)",,2013,,"54252,53"
