NAME DES BEGÜNSTIGTEN,BEZEICHNUNG DES VORHABENS,Jahr der Bewilligung,Jahr der abschließenden Restzahlung,Gewährte Beträge,Bei Abschluss des Vorhabens gezahlte Gesamtbeträge
Stadt Verden,"Anlegung eines Naturerlebnispfades im Verdener Stadtwald - 1.
Station: ""Verdener Dünen""",,2013,,"11.709,77"
Stadt Verden,"Umgestaltung Rathausplatz sowie Teilbereich Große Straße zwischen
Bäckerstraße und Herrlichkeit",,2015,,"693.600,00"
Stadt Verden,Alleruferpark mit Mehrgenerationenspielplatz,,2015,,"592.347,28"
Stadt Verden,"Ausbau der Straße ""Reeperbahn""",,2015,,"791.883,60"
Stadt Verden,"Neubau einer Parkpalette ""Am Nordertor""",,2015,,"1.242.000,00"
Stadt Visselhövede,Ausbau der stadttechnischen Infrastruktur für den Güterbahnhof,,2010,,"624.800,00"
Stadt Visselhövede,"Neubau einer Schmutzwasser-Ortsentwässerung im Bereich
Drögenbostel mit Anschluss an das Kanalnetz der Stadt Visselhövede",,2011,,"450.554,34"
Stadt Visselhövede,"Neubau einer Schmutzwasser-Ortsentwässerung im Bereich
Kettenburg Anschluss an das bestehende Schmutzwasser-Kanalnetz
der Stadt",,2013,,"629.047,64"
Stadt Visselhövede,Bürgerpark Visselseen,,2013,,"132.173,11"
Stadt Visselhövede,"Umbau ""Haus des Gastes"" zum ""Haus der Bildung""",,2014,,"622.495,07"
Stadt Visselhövede,"Neubau einer SW-Ortsentwässerung im Bereich Ottingen u. Riepholm
mit Anschluss a. d. bestehende SW-Kanalnetz d. Stadt Visselhövede",,2015,,"1.539.658,82"
Stadt Visselhövede,Prozessleitsystem Kläranlage - neue Anlagensteuerung,,2015,,"343.835,72"
Stadt Walsrode,Gestaltung des Bahnhofsumfeldes,,2015,,"732.928,96"
Stadt Walsrode,"Umnutzung des Jugendzentrums zum generationsübergreifenden
Zentrum für Jugend und Kultur",,2015,,"662.570,00"
Stadt Walsrode,Alten- und behindertengerechter Ausbau öffentlicher Bereiche,,2015,,"91.817,37"
Stadt Walsrode,"Erschließung Gewerbegebiet ""Große Schneede""",,2016,,"8.166.224,41"
Stadt Winsen (Luhe),"Gewerbegebiet Luhdorf, Erschließung 2. Bauabschnitt",,2016,,"4.926.435,33"
Stadthalle Verden GmbH,"Beratung zur Erstellung einer Internetpräsentation in Kombination mit
Onlinemarketing-Maßnahmen",,2013,,"2.898,45"
Stahl- und Maschinenbau Lühmann GmbH & Co. KG,Erstellung eines Web-Marketing-Konzeptes,,2014,,"4.000,00"
Stall Schlieckau Frau Susann Babett Bescht,Errichtung eines Zucht- und Ausbildungsbetriebes für Pferde,,2013,,"360.000,00"
Standby GmbH,"Entwicklung eines qualitativen, zukunftssichernden
Personalentwicklungskonzeptes",,2012,,"1.400,00"
Steakhouse Apache Inh. Yazgan Meyase,Erstellung eines Web-Marketingplanes,,2012,,"6.000,00"
Stefan Conath Immobilienbewertung,Erstellung eines Web-Marketing-Konzeptes,,2011,,"4.000,00"
Stefan Reinsch,Landschaftspflegehof Arche Höhbeck Kauf und Sanierung,2013,,"176.597,76",
Stefan von Bargen,"Beratung und Konzeption zur Erstellung einer professionellen
Internetpräsenz",,2011,,"4.400,00"
Steffens GmbH,Konzeptionelle Beratung zur Erstellung einer Internetpräsenz,,2012,,"4.400,00"
Steinau,"Ausbau einer breitbandigen elektr. Kommunikation im Bereich der
Gewerbe-, Misch- und Wohngebiete der Gemeinde Steinau",,2015,,"47.913,57"
Stelljes Team Heizungs- & Sanitärinstallations GmbH,"Erarbeitung und Umsetzung eines umfassenden Marketingkonzeptes
zur Umsatzausweitung und Gewinnung von Neukunden",,2008,,"4.000,00"
Stiftung Freilichtmuseum am Kiekeberg,"Agrarium, Erlebniswelt Landwirtschaft, 2. Bauabschnitt",,2013,,"1.108.061,49"
Stiftung Natureum Niederelbe b.R.,"Neubau eines Ausstellungsgebäudes mit Fahrradstation für das
Natureum - Oste-Welle",,2015,,"686.223,97"
Stiftung Natureum Niederelbe b.R.,Orni-Vision im Natureum,,2015,,"18.261,02"
Stiftung Spiel: Historisches Spiel- zeug - Innovative Spielräume,Spielmuseum -Filzwelt (Machbarkeitsstudie),,2009,,"23.000,00"
Stiftung Spiel: Historisches Spiel- zeug - Innovative Spielräume,Filzwelt Soltau,,2016,,"4.742.877,60"
Strandhotel Duhnen Aparthotel Kamp Kristian Kamp e.K.,"Umbau/ Hotelbadabteilung, Errichtung Wellness-Bereich",,2011,,"255.700,00"
Stromradhaus GmbH,"Beratung zur Entwicklung eines Online-Marketing-Konzeptes zur
Kundengewinnung",,2015,,"5.000,00"
Studio Lichtblick,Beratung zur Optimierung der Internetseite,,2013,,"4.000,00"
Stuhlmacher Solartechnik GmbH,Anpassung von Kompetenzen der Beschäftigten,,2012,,"10.000,00"
STUMM Kommunikation Betriebs GmbH & Co. KG,Erweiterung einer Betriebsstätte,,2013,,"321.000,00"
Sudau's Olive,Beratung zur Erstellung eines Webauftrittes,,2012,,"4.800,00"
SugarShape UG,Gründung und Aufbau des Unternehmens SugarShape,,2012,,"18.000,00"
Susanne Löhn Malermeisterin,Erstellung eines Web-Marketingkonzeptes,,2011,,"4.800,00"
Susanne Ruff Begleitende Kinesiologin,"Beratung zur Positionierung im Internet und zur Klientengewinnung
durch Web-Marketing",,2014,,"1.800,00"
Susanne Thölke Heilpraktikerin für Psychotherapie,"Beratung und Erarbeitung eines Konzeptes für Onlinemedien und
Suchmaschinen",,2014,,"2.000,00"
SyncFirm UG,Gründung und Aufbau des Unternehmens SyncFirm UG,,2013,,"17.946,80"
T & T Markt GmbH,"Bestandsaufnahme und Analyse der Werbemaßnahmen, Steigerung
der Wettbewerbsfähigkeit und Beratung im Bereich Kundenbindung",,2010,,"2.000,00"
Take-your-car GmbH,Erstellung des Maßnahmeplanes,,2012,,"6.000,00"
Tamke Verkaufsfahrzeuge GmbH,Erstellung eines Kommunikationskonzeptes für die Online-Präsenz,,2012,,"6.000,00"
Tanzschule & Dance GmbH,Erhöhung des Marktanteils und Preispolitik,,2009,,"2.800,00"
TAU Gesellschaft für ökologische Systeme GmbH,Erstellung des Produktdesigns,,2012,,"4.548,00"
TAX Prüfstelle und KFZ-Sachverständigen- büro,"Beratung zur Neukundengewinnung und Kundenbindung durch
gezieltes Web-Marketing",,2013,,"10.000,00"
"TDS invents Fahrzeugtechnik e.K. Industriegebiet Volkstorf Süd-
West",Erweiterung einer Betriebsstätte,2007,,"247.500,00",
"TDS invents Fahrzeugtechnik e.K. Industriegebiet Volkstorf Süd-
West","Neuentwicklung eines Systemdachs für einen Einsatzleitwagen der
Feuerwehr",2009,,"68.300,00",
Technische Universität Clausthal,FZC Drilling Simulator,,2015,,"6.683.522,38"
Teichert Systemtechnik GmbH,"Gründung und Aufbau des Unternehmens Teichert Systemtechnik
GmbH",,2013,,"18.000,00"
Teichert Systemtechnik GmbH,Modularer Formsensor für sehr lange Objekte,,2015,,"82.710,13"
TET Hygiene Vertrieb GmbH & Co. KG,Erstellung eines Marketingkonzeptes,,2011,,"4.000,00"
TET Hygiene Vertrieb GmbH & Co. KG,"Erweiterung einer Betriebsstätte in 29439 Lüchow, Rue de Ceret 2",,2016,,"79.500,00"
The Stork Foundation,Beobachtungsstände in den Sudewiesen,,2010,,"45.198,79"
Theater Lüneburg GmbH,"Ausbau/Erweiterung des Theaters Lüneburg um ein Kinder- und
Jugendtheater",,2011,,"1.395.750,00"
Theater Lüneburg GmbH,Modernisierung der Dächer und Fassaden des Theaters,,2015,,"912.299,29"
Theater Lüneburg GmbH,"Modernisierung der technischen Anlagen und Raumausstattungen des
Theaters",,2015,,"432.853,01"
Theater Lüneburg GmbH,"Energetische Modernisierung der technischen Gebäudeausrüstung,
Modernisierung von Raumaussattungen und technischen Anlagen",,2015,,"900.900,20"
Theater Metronom,Umbaumaßnahme Theater Metronom,,2009,,"212.500,00"
Thiele Metalltechnik GmbH,HYGI-TEC - Gefrier- und Auftauverfahren,,2016,,"75.613,91"
Thom Metall- und Maschinenbau GmbH,Einstellung eines Innovationsassistenten,,2010,,"7.465,48"
Thom Metall- und Maschinenbau GmbH,Gurtband-Schälmaschine,,2013,,"37.458,33"
Thomas GmbH & Co. Technik + Innovation KG,"Entwicklung von Verfahren und Anlage zur kontinuierlichen Her-
stellung von 2- und 3-dimensional gekrümmten faserv. Profilen",,2012,,"189.102,28"
Thomas Treude GmbH,Grundstückskauf sowie Errichtung einer Lagerfläche,,2010,,"25.822,25"
Thorben Flach,"Aufbau des Unternehmens ""TAP - Solutions GbR""",,2010,,"18.000,00"
Tiedeke Büroservice GmbH Herrn Jan Fuchs,"Erarbeitung von Marketingmassnahmen zur Verbesserung der
Ergebnisse",,2010,,"10.000,00"
"tirmondo GmbH, Bad Fallingbostel","HigH! - Holistisches internetunterstütztes gasbasiertes
Hybrideinspritzsystem",,2013,,"100.000,00"
"tirmondo GmbH, Bad Fallingbostel","PreMiuM-Predictive Truck Markets: indicatorbased, universal
eMarketplace",,2015,,"98.639,70"
Tischlerei Ernst-Otto Brammer,"Erarbeitung von Marketingmaßnahmen, Aufbau eines Marketing-
Controllings, Unterstützung bei der Umsetzung",,2009,,"10.000,00"
Tischlerei Oberdick,"Beratung zur Neukundengewinnung und Kundenbindung durch
gezieltes Web-Marketing",,2014,,"2.200,00"
Tischlerei René Marquard,Erarbeitung eines Web-Marketingkonzeptes,,2011,,"2.500,00"
Tischlerei Schmorl,Beratung zur Erstellung einer professionellen Internetpräsenz,,2011,,"2.000,00"
Tischlerei Stolte GmbH,Maschinen und Anlagen,,2010,,"192.500,00"
Tischlerei Voss GmbH & Co. KG,"Beratung zum Aufbau eines systematischen
Personalentwicklungskonzeptes",,2014,,"8.400,00"
Tischlerei W. Fiß e.K Arne Lütjens,"Beratung zur Sicherung und Anpassung von Kompetenzen der
Beschäftigten auf die aktuellen und zukünftigen Anforderungen",,2014,,"6.000,00"
Tischlerei Winkler GmbH,"Entwicklung modular einsetzbarer Sicherheitselemente aus Holz
(Türen und Fenster) für den Innen- und Außenbereich",,2013,,"16.475,32"
Tischlerei Winkler GmbH,Konzeption eines eigenen Internetauftrittes,,2009,,"10.000,00"
Tischlerei/Drechslerei Simonsen,Anschaffung von Maschinen,,2013,,"15.166,24"
TME Die Dachdeckermeister GmbH,Erarbeitung eines Corporate Design,,2011,,"3.500,00"
Tobias Kopp - Schornsteinfeger,Erarbeitung eines professionellen Internetauftrittes,,2013,,"4.400,00"
TofuTown Lüneburger Heide GmbH,"Kauf von Grundstücken, Maschinen/Anlagen, Gebäude",,2011,,"1.597.100,00"
Torsten Suderburg,Neubau eines Bürogebäudes und Anschaffung von Maschien,,2011,,"42.192,94"
Torsten Winkler,Entwicklung von einem Marketing- und Vertriebskonzept,,2009,,"5.989,25"
tourenmaterial.de,Optimierung des öffentlichen Auftritts,,2010,,"5.000,00"
Trägerverbund Burg Lenzen (Elbe) e. V.,"Naturschutz und Natureleben in der Landgraben-Dumme-Niederung -
ein länderübergreifendes Konzept unter Einbindung von Landnu.",,2013,,"72.922,05"
Tripmacker-Fahje Die kreativen Landschaftsgärtner,Beratung zur Erstellung einer Internetpräsenz,,2013,,"2.800,00"
Trispel GmbH,Beratung zur Planung und Durchführung der Anteilsübertragung,,2015,,"2.849,72"
TTT The Team Composite AG,Einstellung eines Innovationsassistenten,,2010,,"8.357,40"
Uhlenhoff-Ideen,Gründung und Ausbau des Unternehmens Uhlenhoff-Ideen GmbH i.G.,,2012,,"18.000,00"
Umformtechnik Stade GmbH,Aufbau eines Qualitätsmanagementsystems,,2009,,"9.800,00"
Umformtechnik Stade GmbH,"Entwicklung eines Tiefziehverfahrens für Sicken mit unterschiedl.
Randabständen in Stahlblechen aus Corten ""B""",,2014,,"19.656,00"
Urologische Gemeinschaftspraxis Buxtehude - Neu Wulmsdorf,"Grafisches Überdenken der Gesamtgestaltungslinie in allen relevanten
Medien",,2012,,"4.000,00"
USP Umweltservice GmbH,Entwicklung eines ganzheitlichen Web-Marketing-Konzeptes,,2013,,"5.200,00"
Uta Schlobohm-Sabin Körpertherapeutin,Erstellung eines Marketingkonzeptes,,2011,,"3.350,00"
Ute Fischer Vermietung und Verwaltung,"Beratung zur Steigerung der Vermarktung von Luxus-
Ferienwohnungen in Cuxhaven über gezieltes Internet-Marketing",,2013,,"3.000,00"
Uwe Behrens Immobilien,"Beratung zur Neukundengewinnung und Kundenbindung durch
gezieltes Web-Marketing",,2014,,"4.600,00"
Uwe Nehls,Erarbeitung einer professionellen Internetpräsenz,,2014,,"4.400,00"
vabene Damenschuhe,Erstellung eines Web-Marketing-Konzeptes,,2012,,"2.000,00"
Vastorf,"Bau eines Industriegleises sowie einer Ladestraße einschließlich einer
Anbindung an die vorhandene nördliche Gewerbestraße",,2014,,"930.914,62"
Venus-Moden Annette Redder e.K.,"Konzeptionelle Beratung für die Marketingaktivitäten des Unter-
nehmens über das Internet",,2013,,"2.500,00"
Verein für Sozialmedizin e.V.,Erarbeitung eines Online-Marketing-Konzeptes,,2012,,"4.000,00"
"Verein Landwirtschaftsmuseum Lüneburger Heide am
Landtagsplatz zu Hösseringen",Ausbau des Museumsdorfes Hösseringen,,2011,,"840.000,00"
Verein Naturschutzpark e.V.,Naturspeicher Wilsede,,2008,,"13.574,00"
Verein Naturschutzpark e.V.,Umbau und Erweiterung des Naturinformationszentrums Undeloh,,2011,,"741.701,26"
Verein zur Förderung von Naturerlebnissen e. V.,Natur und Technik an der Oste,,2008,,"7.962,53"
Verein zur Förderung von Naturerlebnissen e. V.,a.Moore.mio - Die Liebe zum Moor entdecken / Erstellung eines Flyers,,2009,,"5.653,40"
Verein zur Förderung von Naturerlebnissen e. V.,Vogelkieker-Ersatzbeschaffungen,,2010,,"289.477,75"
Verein zur Förderung von Naturerlebnissen e. V.,Natur und Technik an der Oste,,2012,,"55.251,00"
Verein zur Förderung von Naturerlebnissen e. V.,Vogelkieker II - Nachrüstung Belüftungsanlage,,2013,,"13.760,69"
Vereinigte Saatzuchten Ebstorf-Rosche eG,Hallenbau für Aufbereitung von Saatgut,,2010,,"145.000,00"
"Verkehrsverein Hitzacker, Göhrde, Elbufer e.V.","Erstellung von Naturerleben-Strecken verbunden mit Nordic- Walking
und Wanderpfaden",,2011,,"39.000,00"
Vermessungsbüro Ehrhorn,Erarbeitung eines betrieblichen Weiterbildungskonzeptes,,2012,,"6.800,00"
Viebrocks Gasthaus,"Repositionierung und Anpassung des Webauftrittes an den Markt und
die Zielgruppenbedürfnisse",,2014,,"10.000,00"
ViSiTec Video-Sicherheit-Technik GmbH,Optimierung des Online-Marketings und des Marketing- Controllings,,2008,,"2.800,00"
Visseler Pflegedienst Inh. Heike Rathmann,"Aufbau eines Marketings für den Pflegedienst Bekanntmachung des
Pflegedienstes als lokale Marke",,2009,,"4.800,00"
Vital Apotheke am Neumarkt Klaus-Peter Körber,Entwicklung einer Marketingstrategie für die Vital Apotheke,,2009,,"6.400,00"
Vital-Zentrum-Verden Jürgen Schulz-Karstens,Neugestaltung des Internetauftrittes,,2013,,"4.570,00"
VNP Stiftung Naturschutzpark,"Vernetzung der Informationseinrichtungen des Vereins
Naturschutzpark",,2010,,"9.500,00"
VNP Stiftung Naturschutzpark,"Schaffung neuer Angebote im Außenbereich des
Naturinformationshauses Undeloh",,2010,,"23.935,02"
VNP Stiftung Naturschutzpark,"Bau einer Beobachtungs-Aussichtsplattform im Naturschutzgebiet
Lüneburger Heide",,2009,,"30.854,56"
VNP Stiftung Naturschutzpark,Heidebauernwirtschaft erleben in Wilsede,,2009,,"48.442,62"
VNP Stiftung Naturschutzpark,Großviehbeweidung erlebbar machen!,,2011,,"7.918,00"
VNP Stiftung Naturschutzpark,"Ökologische Bewirtschaftung der Kulturlandschaft auf dem Tütsberg
erleben",,2011,,"32.058,24"
VNP Stiftung Naturschutzpark,"Bienenwelten - Eine Ausstellung für die Natur-InformationsHäuser
Ober- und Niederhaverbeck",,2014,,"78.196,78"
VNP Stiftung Naturschutzpark,Barrierefreier Rundwanderweg in der Hügelgräberheide Behringen,,2015,,"24.146,96"
Volkshochschule Heidekreis gGmbH,"Koordinierungsstelle und KoordinierungsstellePlus Frau und Beruf
Heidekreis",,2009,,"124.467,38"
Volkshochschule Heidekreis gGmbH,Koordinierungsstelle Frau und Wirtschaft Heidekreis,,2010,,"150.457,43"
Volkshochschule Heidekreis gGmbH,Koordinierungsstelle Frau & Wirtschaft Heidekreis,,2011,,"184.870,58"
Voss & Voss Autohaus Nord Niedersachsen GmbH & Co. KG,Optimale Ausrichtung des Personals,,2013,,"9.125,00"
vTHINK GbR,Analyse des bisherigen Online-Marketings,,2013,,"6.468,00"
W. Marwitz Textilpflege GmbH,"Begleitende und konzeptionelle Beratung zur Erstellung und
Umsetzung eines Marketingkonzeptes",,2008,,"10.000,00"
W. Rübke GmbH & Co. Bauunternehmen,Neupositionierung am Markt,,2010,,"1.162,50"
W. von der Heyde GmbH,Erstellung eines professionellen Web-Marketing-Konzeptes,,2011,,"10.000,00"
W. von der Heyde GmbH,"Entwicklung und Herstellung einer neuen Maschine für die industrielle
Dichtheitsprüfung",,2014,,"100.000,00"
Wachstumsinitiative Süderelbe AG,"Projektskizze zur zielgerichteten Entwicklung des Industrie- standortes
Stade, stade-project 2021",,2010,,"139.435,08"
Wachstumsinitiative Süderelbe AG,Clustermanagement Ernährungswirtschaft,,2014,,"1.114.847,61"
Wachstumsinitiative Süderelbe AG,Regional- und Netzwerkmanagement Logistik,,2015,,"1.431.936,78"
Wachstumsinitiative Süderelbe AG,"stade-project 2021: Standortmanagement zur zielgerichteten und
wachstumsorientierten Entwicklung des Industriestandortes Stade",,2015,,"1.332.523,12"
Wachstumsinitiative Süderelbe AG,Wirtschaftsdelta 2015,,2015,,"809.500,00"
Wachstumsinitiative Süderelbe AG,"Projektmanagement zur Entwicklung eines Hafen- und Logistik-
verbunds Elbe-Seitenkanal (ESK)",,2015,,"120.588,92"
Wachstumsinitiative Süderelbe AG,"Smart Region: Strategie, Handlungskonzept und Businessplan-
Entwicklung für Nordostniedersachsen und die Süderelbe-Region",,2015,,"498.373,83"
Waldbüro Böhmsholz Herr Veikko Villwock,Gründung und Aufbau des Unternehmens Waldbüro Böhmsholz,,2011,,"18.000,00"
Wärme aus Biokraft Probst,Beratung zum Logodesign und Corporate Design,,2012,,"2.000,00"
Warnkes Holzmanufaktur GmbH & Co. KG,Aufbau von Marketing- und Vertriebsstrategien für Online-Verkauf,,2011,,"1.820,00"
Wassenaar living home GmbH,"Entwicklung eines marktfähigen Markenzeichens mit entsprechend
effizienter Kommunikationsstrategie",,2008,,"6.000,00"
Wasser & Behrens GmbH,Erstellung & Umsetzung eines komplexen Marketingkonzeptes,,2008,,"6.800,00"
Wasser & Behrens GmbH,"Ausbau eines vorhandenen Marketingkonzeptes als Basis für die
Wachstumsphase der Firma",,2009,,"10.000,00"
Wasser- u. Abwasserverband Wesermünde-Nord,Bau einer Schmutzwasserkanalisation in Hymendorf,,2012,,"1.219.750,00"
Wasser- und Abwasserverband Osterholz,Ertüchtigung der Kläranlage Grasberg,,2014,,"239.273,72"
Wasser- und Bodenverband Biederden- Bollen-Uphusen,"Herstellung des Deichverteidigungsweges im Bereich der Kläranlage
Achim",,2009,,"156.907,51"
Wasser- und Bodenverband Grauwall-Gebiet,Neubau des Spitzenschöpfwerkes Misselwarden,,2009,,"773.540,23"
Wasserverband Höhbeck,Erweiterung der Kläranlage Gartow,,2014,,"210.473,11"
Wasser-Verband-Wendland,Leistungssteigerung der Belebungsbecken,,2012,,"1.016.000,00"
web-netz GmbH,Neuentwicklung einer Affiliate Management Software,,2015,,"50.200,00"
Wehdeler Gewürzmühle GmbH,Verlagerung und Erwerb einer stillgelegten Betriebsstätte in Schiffdorf,,2009,,"20.611,40"
Weinfass Wabnitz,Erstellung eines Web-Marketing-Konzeptes,,2014,,"2.200,00"
Weinkost Bistro-Kontor GbR,Beratung zur Optimierung der bestehenden Internetpräsenz,,2013,,"2.400,00"
WELDTEC GmbH,"Verlagerung einer Betriebsstätte mit Erweiterung Bau einer
Halle,Verbesserung der Auftragsbearbeitung",2009,,"437.130,00",
Wellness-Schlösschen Bötzelberg,Konzeptentwicklung der Website und Beratung zum Corporate Design,,2009,,"3.000,00"
Werkzeug- und Maschinenbau Uwe Schiemann GmbH,"Erweiterung einer Betriebsstätte in 29549 Bad Bevensen, Eppenser
Weg 27",,2015,,"41.000,00"
"Werner Hacke Landw.Lohnunternehmen Inh. Hans-Heinrich
Hacke","Beratung zur Stärkung der Eingenkapitalbasis für ein langfristiges
Unternehmenswachstum",,2015,,"5.061,99"
Werner OHG,Neuausrichtung des Corporate Design,,2012,,"10.000,00"
Werum Software & Systems AG,"Entwicklung eines Standardsoftwarepakets ""Produktionsmanagement""
für die Biotech- und Pharma-Industrie",,2010,,"1.351.922,93"
Westener Deichverband,"Verbesserung der Deichsicherheit zwischen Westen und Barnstedt
Station 5+460 bis 8+300, Planungskosten 2007",,2008,,"28.000,00"
Westphal Präzisionstechnik GmbH & Co. KG,Anbau und Umbau der Montagehalle,,2010,,"48.307,56"
WeSustain GmbH,Einstellung einer Innovationsassistentin,,2011,,"9.000,00"
Wiebke Sohnemann,Beratung zur Erstellung eines Webmarketing-Konzeptes,,2014,,"8.400,00"
Wildnissport GmbH,Versandhandel,,2013,,"229.431,66"
Wilfried Müller KG,Bau von Hallen und Anschaffung von Maschinen und Anlagen,,2013,,"246.265,43"
Wilhelm H. & Martina Matthies KG,Erstellung einer professionellen Internetpräsenz,,2013,,"7.600,00"
Wilhelm Matthies,"Erstellung eines Nachfolgekonzeptes sowie Beratung zur
Kapitalbedarfsermittlung",,2012,,"500,00"
Wilhelm Wehrt e.K. Hotel Altes Land,"Konzeptionelle Beratung zur Suchmaschinen-Analyse, Auswertung
des möglichen Online Marktes",,2013,,"10.000,00"
Winterhoff Edelstahl GmbH,Änderung des Produktionsablaufs,,2011,,"62.424,80"
Wipak Walsode GmbH & Co. KG,"Entwicklung einer neuen Generation von mehrschichtigen
Kunststofffolien auf der Basis nachwachsender Rohstoffe",,2012,,"51.814,29"
"Wirtschafts- und Strukturentwicklungs- gesellschaft Landkreis
Verden mbH",Gleisanschluss Industrie- und Gewerbegebiet Dörverden,,2015,,"4.559.696,50"
Wirtschaftsförderungsgesellschaft im Landkreis Harburg mbH,"Entwicklung des Gewerbegebietes ""Hauskoppel/Lübberstedter Str.""
der Gemeinde Egestorf",,2013,,"1.520.333,55"
Wirtschaftsförderungsgesellschaft im Landkreis Harburg mbH,"Arbeitsgemeinschaft Technologie- und Innovationsförderung Elbe-
Weser Region (ArTIE)",,2013,,"309.000,00"
Wirtschaftsförderungsgesellschaft im Landkreis Harburg mbH,Neubau eines Innovations- und Gründungszentrums,,2015,,"1.880.827,00"
Wirtschaftsförderungsgesellschaft im Landkreis Harburg mbH,"Entwicklung des Gewerbegebietes Oelstorf II der Gemeinde
Salzhausen",,2016,,"674.073,21"
"Wirtschaftsförderungsgesellschaft mbH für Stadt und Landkreis
Lüneburg","Entwicklungsprojekt ""Lüneburger Binnenhafen""",,2011,,"119.000,00"
Wolf & Wolf,Optimierung von Marketingaktivitäten im Internet,,2013,,"2.000,00"
